# SentiWordNet Pt-BR v1.0b (13 Agosto 2017)
# Todos os direitos reservados.
#
# Link: https://github.com/Pedro-Thales/SentiWordNet-PT-BR
#
# Data format.
# 
# A primeira coluna corresponde ao ID baseado na identificação
# 	internacional baseada no WordNet 3.0.
# Os valores PosPont e NegPont são respectivamente a pontuação 
# 	positiva e negativa dos termos.
#
# A identação padrão utiliza tabulação entre as colunas.
#
#ID	PosScore	NegScore	Termo
00041051-a	0	0	apagado
00041051-a	0	0	extincto
00041051-a	0	0	extinto
00041051-a	0	0	liquidado
00041051-a	0	0	revogado
00041206-v	0	0	enfatizar
00041206-v	0	0	realçar
00041468-n	0	0	esgrima
00041554-v	0	0	pintar
00041687-v	0	0	condicionar
00041740-n	0	0	boliche
00041758-r	0.375	0	concretamente
00041758-r	0.375	0	especificamente
00041899-n	0	0	aquisição
00041954-r	0	0.375	em geral
00041954-r	0	0.375	generalmente
00042173-v	0	0	empoar
00042254-r	0.5	0	afortunadamente
00042254-r	0.5	0	felizmente
00042254-r	0.5	0	por sorte
00042311-n	0	0.25	causalidade
00042479-v	0	0	manicurar
00042541-n	0	0	parto
00042614-r	0	0.625	descontentemente
00042614-r	0	0.625	tristemente
00042641-v	0.125	0	manicurar
00042757-n	0	0	partida
00042769-r	0	0.875	desgraçadamente
00042769-r	0	0.875	infelizmente
00042769-r	0	0.875	lamentavelmente
00042792-v	0	0	barbear
00043003-r	0	0	assim
00043003-r	0	0	assim sendo
00043003-r	0	0	consequentemente
00043003-r	0	0	daqui
00043003-r	0	0	de tal modo
00043003-r	0	0	dessa forma
00043003-r	0	0	desse jeito
00043003-r	0	0	em vista disso
00043003-r	0	0	por este motivo
00043003-r	0	0	por isto
00043003-r	0	0	portanto
00043078-v	0	0	ataviar
00043078-v	0	0	vestir
00043195-n	0	0	descoberta
00043195-n	0	0	descobrimento
00043480-v	0	0	perfumar
00043521-r	0	0	daqui
00043608-r	0	0	daí
00043608-r	0	0	desde aí
00043608-r	0	0	por isso
00043609-n	0	0	eliminação
00043765-a	0.125	0.5	efectivo
00043765-a	0.125	0.5	efetivo
00043765-a	0.125	0.5	real
00043765-a	0.125	0.5	verdadeiro
00043902-n	0	0	batida
00043902-n	0	0	jogada
00043902-n	0	0	rebatida
00044149-v	0	0	arrumar se
00044149-v	0	0	arrumar-se
00044149-v	0	0	emperequetar se
00044149-v	0	0	vestir
00044149-v	0	0	vestir formalmente
00044150-n	0	0	execução
00044150-n	0	0	implementação
00044150-n	0	0	realização
00044262-r	0	0	vocacionalmente
00044353-a	0	0.25	possível
00044353-a	0	0.25	potencial
00044394-r	0.125	0	cara a cara
00044455-n	0	0	emergência
00044608-a	0	0.625	latente
00044673-n	0	0	equalizador
00044673-n	0	0	equalização
00044760-a	0	0.5	pontiagudo
00044797-v	0.5	0	vestir
00044900-n	0	0	exumação
00044987-a	0	0	subagudo
00045114-n	0.5	0	mitzvá
00045123-a	0	0.375	crónico
00045123-a	0	0.375	crônico
00045250-n	0	0	impulsão
00045250-n	0	0	propulsão
